team_type,strategy,situations,average_runs,win_rate
Away,Bunt Attempt,44,1.0909090909090908,45.45454545454545
Away,Swing / Other,624,1.1330128205128205,57.21153846153846
Home,Bunt Attempt,67,0.11940298507462686,76.11940298507463
Home,Swing / Other,597,0.4103852596314908,40.20100502512563
